"OBJECTID";"FECHA_OCURRENCIA_ACC";"ANO_OCURRENCIA_ACC";"FORMULARIO";"CLASE_ACC"
399985;"2020/02/03 00:00:00+00";2020;"A001132912";"CHOQUE"
399986;"2020/02/03 00:00:00+00";2020;"A001132841";"CHOQUE"
399987;"2020/02/04 00:00:00+00";2020;"A001132534";"CHOQUE"
399988;"2020/02/03 00:00:00+00";2020;"A001132605";"VOLCAMIENTO"
399989;"2020/02/04 00:00:00+00";2020;"A001132826";"CHOQUE"
399990;"2020/02/03 00:00:00+00";2020;"A001132905";"VOLCAMIENTO"
399991;"2020/02/04 00:00:00+00";2020;"A001132824";"CHOQUE"
399992;"2020/02/03 00:00:00+00";2020;"A001132393";"CHOQUE"
399993;"2020/02/04 00:00:00+00";2020;"A001130159";"CHOQUE"
399994;"2020/02/04 00:00:00+00";2020;"A001131579";"CHOQUE"
399995;"2020/02/04 00:00:00+00";2020;"A001132722";"ATROPELLO"
399996;"2020/02/05 00:00:00+00";2020;"A001127530";"ATROPELLO"
399997;"2020/02/04 00:00:00+00";2020;"A001132157";"ATROPELLO"
399998;"2020/02/05 00:00:00+00";2020;"A001132935";"ATROPELLO"
399999;"2020/02/04 00:00:00+00";2020;"A001132554";"CHOQUE"
400000;"2020/02/04 00:00:00+00";2020;"A001132881";"ATROPELLO"
400001;"2020/02/04 00:00:00+00";2020;"A001132622";"CAIDA DE OCUPANTE"
400002;"2020/02/04 00:00:00+00";2020;"A001132785";"CHOQUE"
400003;"2020/02/04 00:00:00+00";2020;"A001132435";"CHOQUE"
400004;"2020/02/04 00:00:00+00";2020;"A001131363";"VOLCAMIENTO"
400005;"2020/02/04 00:00:00+00";2020;"A001132782";"ATROPELLO"
400006;"2020/02/05 00:00:00+00";2020;"A001132770";"CHOQUE"
400007;"2020/02/05 00:00:00+00";2020;"A001132904";"ATROPELLO"
400008;"2020/02/04 00:00:00+00";2020;"A001132749";"CHOQUE"
400009;"2020/02/04 00:00:00+00";2020;"A001132379";"CHOQUE"
400010;"2020/02/05 00:00:00+00";2020;"A001132836";"ATROPELLO"
400011;"2020/02/04 00:00:00+00";2020;"A001132012";"CHOQUE"
400012;"2020/02/04 00:00:00+00";2020;"A001132835";"CHOQUE"
400013;"2020/02/04 00:00:00+00";2020;"A001132457";"CHOQUE"
400014;"2020/02/04 00:00:00+00";2020;"A001131578";"CHOQUE"
400015;"2020/02/05 00:00:00+00";2020;"A001131957";"CHOQUE"
400016;"2020/02/04 00:00:00+00";2020;"A001132464";"CHOQUE"
400017;"2020/02/04 00:00:00+00";2020;"A001132909";"CHOQUE"
400018;"2020/02/04 00:00:00+00";2020;"A001132784";"CHOQUE"
400019;"2020/02/04 00:00:00+00";2020;"A001132154";"CHOQUE"
400020;"2020/02/04 00:00:00+00";2020;"A001132941";"CHOQUE"
400021;"2020/02/05 00:00:00+00";2020;"A001132661";"CHOQUE"
400022;"2020/03/05 00:00:00+00";2020;"A001135322";"CHOQUE"
400023;"2020/03/04 00:00:00+00";2020;"A001135797";"CHOQUE"
400024;"2020/03/06 00:00:00+00";2020;"A001135168";"CHOQUE"
400025;"2020/03/06 00:00:00+00";2020;"A001135765";"CHOQUE"
400026;"2020/03/05 00:00:00+00";2020;"A001135814";"CHOQUE"
400027;"2020/03/06 00:00:00+00";2020;"A001135874";"CHOQUE"
400028;"2020/03/06 00:00:00+00";2020;"A001135486";"CHOQUE"
400029;"2020/03/05 00:00:00+00";2020;"A001134672";"CHOQUE"
400030;"2020/03/05 00:00:00+00";2020;"A001135664";"CHOQUE"
400031;"2020/03/05 00:00:00+00";2020;"A001134839";"CHOQUE"
400032;"2020/03/06 00:00:00+00";2020;"A001135524";"CHOQUE"
400033;"2020/03/05 00:00:00+00";2020;"A001135856";"CHOQUE"
400034;"2020/03/06 00:00:00+00";2020;"A001135598";"CHOQUE"
400035;"2020/03/06 00:00:00+00";2020;"A001134474";"CHOQUE"
400036;"2020/03/06 00:00:00+00";2020;"A001135630";"CHOQUE"
400037;"2020/03/06 00:00:00+00";2020;"A001135586";"CHOQUE"
400038;"2020/03/05 00:00:00+00";2020;"A001135485";"ATROPELLO"
400039;"2020/03/05 00:00:00+00";2020;"A001135674";"CHOQUE"
400040;"2020/03/07 00:00:00+00";2020;"A001135525";"VOLCAMIENTO"
400041;"2020/03/06 00:00:00+00";2020;"A001135490";"ATROPELLO"
400042;"2020/03/05 00:00:00+00";2020;"A001133221";"CHOQUE"
400043;"2020/03/05 00:00:00+00";2020;"A001135906";"ATROPELLO"
400044;"2020/03/05 00:00:00+00";2020;"A001135659";"CHOQUE"
400045;"2020/03/05 00:00:00+00";2020;"A001135585";"CHOQUE"
400046;"2020/03/05 00:00:00+00";2020;"A001135656";"CHOQUE"
400047;"2020/03/05 00:00:00+00";2020;"A001135615";"CHOQUE"
400048;"2020/03/05 00:00:00+00";2020;"A001135370";"CHOQUE"
400049;"2020/03/05 00:00:00+00";2020;"A001135114";"CHOQUE"
400050;"2020/03/08 00:00:00+00";2020;"A001135225";"CHOQUE"
400051;"2020/03/06 00:00:00+00";2020;"A001135545";"CHOQUE"
400052;"2020/03/07 00:00:00+00";2020;"A001135231";"ATROPELLO"
400053;"2020/03/08 00:00:00+00";2020;"A001135054";"ATROPELLO"
